year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
2017,3,31,5,"42,6","-10,7",1,4,0,0,8,4,,1,CQIV,,0,220,4,"7,2",,97,1,1,1018,7,2,0,"13,2",0,"12,1",,"11,3",3,12,3,1,6,,2,1,4,,3,1,33,5,4,,176,20,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NDJW2C,3,0,1,0,1,31/03/2017 5:00:00
2017,2,13,12,"46,7","165,2",1,4,0,0,1,3,,1,DANR,,0,40,4,"5,7",,97,26,7,999,4,0,0,3,0,"1,5",,"-0,7",3,3,6,5,9,,5,9,0,,10,2,5,12,"2,5",,158,65,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,N7SPR8,3,0,1,0,1,13/02/2017 12:00:00
2017,3,7,6,"54,5","-168,3",1,4,0,0,6,4,,1,DANR,,0,90,4,"10,3",,98,2,1,1014,0,1,0,4,0,"2,9",,"1,5",3,"4,5",4,4,4,,5,4,4,,5,2,6,10,2,,125,48,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NAJK0V,3,0,1,0,1,7/03/2017 6:00:00
2017,7,1,18,"39,3","0,1",1,4,0,0,1,1,1,1,DGTX,,0,170,4,"3,6",,98,2,0,"1020,2",7,"0,2",0,24,0,"19,3",,"16,9",1,23,1,1,1,,5,0,0,,2,"0,5",4,7,1,,214,90,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NPGCBU,3,0,1,0,1,1/07/2017 18:00:00
2017,6,10,18,"10,8",-89,1,4,0,0,3,4,1,1,DGTX,,0,230,4,"9,3",,98,1,8,"1012,4",8,"0,4",0,"26,6",0,24,,23,1,31,8,6,4,,6,7,A,,4,2,18,12,2,,277,9,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NMQ6J1,3,0,1,0,1,10/06/2017 18:00:00
2017,6,7,12,"24,4","36,5",1,4,0,0,3,4,1,1,DGZL,,0,300,4,"6,2",,98,2,0,"1004,5",7,1,0,"34,8",0,28,,"25,4",1,27,1,1,1,,6,2,5,,11,"1,5",33,11,"1,5",,217,46,992,114,5,1,2,,,,,,,2,131111,11111111111111,,,,NMAYI6,3,0,1,0,1,7/06/2017 12:00:00
2017,7,4,0,-38,"149,5",1,4,0,0,5,4,1,1,DHBN,,0,360,4,"4,1",,98,2,1,"1008,2",5,"0,1",0,"15,8",0,"11,9",,"8,1",1,17,3,1,5,,5,4,5,,2,"0,5",12,7,"1,5",,444,89,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NPQV9F,3,0,1,0,1,4/07/2017 0:00:00
2017,4,27,2,"-36,9","122,9",1,4,0,0,2,4,,1,DIGW,,0,320,4,"5,1",,98,2,0,1029,1,1,0,18,0,16,,"14,8",3,17,3,2,5,,5,6,5,,10,"0,5",21,16,2,,442,62,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NGYZI0,3,0,1,0,1,27/04/2017 2:00:00
2017,4,4,12,"5,7","84,5",1,4,0,0,6,3,1,1,DIHN,,0,230,4,"7,7",,98,3,2,"1010,2",3,"0,5",0,"28,5",0,25,,"23,7",3,31,7,5,2,,4,4,8,,4,1,24,7,"0,5",,294,54,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NE37PQ,3,0,1,0,1,4/04/2017 12:00:00
2017,4,12,15,"25,8","53,6",1,4,0,0,7,3,1,1,DIHN,,0,10,4,"3,1",,96,5,2,"1010,9",3,"0,8",0,"26,5",0,23,,"21,5",3,27,3,2,0,,9,1,1,,2,0,11,3,"0,5",,219,53,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NF3V2D,3,0,1,0,1,12/04/2017 15:00:00
